Repository,Score
Ed-Fi-Alliance-OSS/Ed-Fi-Data-Standard,6.7
Ed-Fi-Alliance-OSS/Ed-Fi-ODS,7.6
Ed-Fi-Alliance-OSS/Ed-Fi-ODS-Implementation,8.1
Ed-Fi-Alliance-OSS/Ed-Fi-Analytics-Middle-Tier,6.9
Ed-Fi-Alliance-OSS/Ed-Fi-Databases,7.9
Ed-Fi-Alliance-OSS/Ed-Fi-MigrationUtility,7
Ed-Fi-Alliance-OSS/Ed-Fi-ODS-AdminApp,8.6
Ed-Fi-Alliance-OSS/Ed-Fi-Extensions,7.5
Ed-Fi-Alliance-OSS/Ed-Fi-ODS-Docker,6.8
Ed-Fi-Alliance-OSS/Ed-Fi-API-Publisher,7.8
Ed-Fi-Alliance-OSS/EdFi.Installer.AppCommon,Error fetching score
Ed-Fi-Alliance-OSS/Starter-Kit-SEA-Modernization,Error fetching score
Ed-Fi-Alliance-OSS/Roster-Starter-Kit-for-Vendors,Error fetching score
Ed-Fi-Alliance-OSS/Ed-Fi-Starter-Kit-Equity,Error fetching score
Ed-Fi-Alliance-OSS/Ed-Fi-Starter-Kit-Assessments,Error fetching score
Ed-Fi-Alliance-OSS/Engage-Online-Learners-Starter-Kit,Error fetching score
Ed-Fi-Alliance-OSS/Ed-Fi-TPDM-Artifacts,Error fetching score
Ed-Fi-Alliance-OSS/Ed-Fi-Actions,Error fetching score
Ed-Fi-Alliance-OSS/Actions-Demonstrations,Error fetching score
Ed-Fi-Alliance-OSS/DevSecOps,Error fetching score
Ed-Fi-Alliance-OSS/.github,Error fetching score
Ed-Fi-Alliance-OSS/slsa-github-generator,6.6
Ed-Fi-Alliance-OSS/Ed-Fi-DataImport,8.6
Ed-Fi-Alliance-OSS/AdminAPI-1.x,8.7
Ed-Fi-Alliance-OSS/Ed-Fi-Compatibility-Libraries,7.7
Ed-Fi-Alliance-OSS/vscode-metaed-ide,Error fetching score
Ed-Fi-Alliance-OSS/antlr4,Error fetching score
Ed-Fi-Alliance-OSS/AdminAPI-2.x,7.9
Ed-Fi-Alliance-OSS/Ed-Fi-API-Standards,7.2
Ed-Fi-Alliance-OSS/api.ed-fi.org,Error fetching score
Ed-Fi-Exchange-OSS/Ed-Fi-TPDM-Community-Model,6.4
Ed-Fi-Exchange-OSS/Ed-Fi-X-StudentEngagement,Error fetching score
Ed-Fi-Exchange-OSS/EWS-Starter-Kits,Error fetching score
Ed-Fi-Exchange-OSS/Ed-Fi-X-ODS-Docker,Error fetching score
Ed-Fi-Exchange-OSS/Suite-3-Performance-Testing,7.4
Ed-Fi-Exchange-OSS/Ed-Fi-X-OtisEd-iMart,Error fetching score
Ed-Fi-Exchange-OSS/TPDM-Data-Ingestion-POC,Error fetching score
Ed-Fi-Exchange-OSS/Dashboard-Replacement-POC,Error fetching score
Ed-Fi-Exchange-OSS/EdFi-Project-Buzz,Error fetching score
Ed-Fi-Exchange-OSS/CloudODS,Error fetching score
Ed-Fi-Exchange-OSS/Ed-Fi-X-DescriptorTool,Error fetching score
Ed-Fi-Exchange-OSS/LMS-Toolkit,5.9
Ed-Fi-Exchange-OSS/Ed-Fi-Solution-Scripts,Error fetching score
Ed-Fi-Exchange-OSS/Student360,Error fetching score
Ed-Fi-Exchange-OSS/Tableau-Attendance-Dashboard,Error fetching score
Ed-Fi-Exchange-OSS/Ed-Fi-MetabaseChronicAbsenteeismQuickStart,Error fetching score
Ed-Fi-Exchange-OSS/Ed-Fi-Sample-Data-Time-Travel-Script,Error fetching score
Ed-Fi-Exchange-OSS/DataChecker,Error fetching score
Ed-Fi-Exchange-OSS/Ed-Fi-TPDM-Community-Artifacts,6.3
Ed-Fi-Exchange-OSS/Chronic-Absentee-Reports-Tableau,Error fetching score
Ed-Fi-Exchange-OSS/Family-Engagement-Portal,Error fetching score
Ed-Fi-Exchange-OSS/Analytics-Middle-Tier-Contrib,Error fetching score
Ed-Fi-Exchange-OSS/Ed-Fi-BinariesPowerShellInstaller,Error fetching score
Ed-Fi-Exchange-OSS/Template-for-GitHub,Error fetching score
Ed-Fi-Exchange-OSS/PowerShell-NuGet-Installer,Error fetching score
Ed-Fi-Exchange-OSS/EPP-PowerBI-Report-Starter-Kit,Error fetching score
Ed-Fi-Exchange-OSS/Ed-Fi-Clever-Integration,Error fetching score
Ed-Fi-Exchange-OSS/Ed-Fi-Roster-Sample-Application,Error fetching score
Ed-Fi-Exchange-OSS/Ed-Fi-Google-Classroom-Roster,Error fetching score
Ed-Fi-Exchange-OSS/Ed-Fi-to-Generate,Error fetching score
